name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
Memorial Epworth of South Bend,NA,420 North Niles Avenue South Bend IN 46617,NA,574-647-8400 x8340,574-647-8400,574-647-8401,NA,NA,MH SUMH * HI * IPSY * CHLOR HALOP ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT ECT GT IDD IPT * PEON WI * PVTN * CLF ITU MC MD MI PI SCJJ SF SMHA SWFS * SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC FPSY IPC ES,41.68088195818807,-86.24428575949187
Oaklawn Psychiatric Center Inc,NA,415 East Madison Street South Bend IN 46617,NA,574-283-1234,NA,NA,NA,NA,SA MH * OP * CMHC * RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF WI * PVTN * CLF CSBG FG MC MD PI SF SI SMHA SWFS * PA SS * TAY CO SMI * STU * MST * PEER * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT FPSY ICM IMR PRS CM IPC,41.6819694,-86.24603345606732
Centerstone of Indiana Inc,Spencer Integrated Health,35 Bob Babbs Drive Spencer IN 47460,NA,800-344-8802,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * TAY CO DV TRMA PTSD SED SMI * STU * TBS MST * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC FPSY PRS CM IPC SPS,39.2883065,-86.7855833
Hamilton Center Inc,Spencer Office,909 West Hillside Avenue Spencer IN 47460,NA,812-829-0037 x3,812-829-0037,800-742-0787,NA,NA,SA MH SUMH * OP * CMHC * CLOZA OLANZ OLANZF RISPE ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * SE VET CO TRMA PTSD SED SMI * STU * SMON * ADLT CHLD SNR YAD * AH * VAPP * FPSY ICM PRS CM SPS,39.289712,-86.77379856122448
Hamilton Center Inc,NA,2134 Mary Sherman Drive Sullivan IN 47882,NA,812-268-6376,812-231-8200,800-742-0787,NA,NA,SA MH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * VET ADM MF SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPP * ICM PRS CM SPS,NA,NA
Otis R Bowen Ctr for Human Servs,Syracuse Outpatient Office,901 South Huntington Street Syracuse IN 46567,NA,574-457-4400,800-342-5653,NA,NA,NA,SA MH SUMH * OP * CMHC * CBT CFT DBT GT IDD IPT * CIT * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * CO SED SMI * STU * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY IMR PRS CM SPS ES,41.4114158,-85.7468082
LifeSpring Health Systems,Perry County Office,1443 9th Street Tell City IN 47586,NA,812-280-2080,NA,NA,NA,NA,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CRT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * SMI * HS PEER * SMON * ADLT CHLD SNR YAD * VAPN * ACT AOT CDM COOT DEC FPSY ICM IMR LAD PRS SEMP SH TPC VRS CM IPC SPS ES,37.96202142501235,-86.76852599754888
Gibault Inc,NA,6401 South U.S. Highway 41 Terre Haute IN 47802,NA,812-299-1156,NA,NA,NA,NA,MH * RES * RTCC * CHLOR HALOP PERPH THIOT ARIPI ASENA CARIP ILOPE LURAS OLANZ PALIP RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IPT * PVTN * MD MI PI SEF SWFS * SED * TBS MST * SMON * CHLD * VAPN * FPSY CM ES,NA,NA
Hamilton Center Inc,NA,620 8th Avenue Terre Haute IN 47804,NA,812-231-8323,812-231-8350,800-742-0787,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON WI * PVTN * CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * VET ADM MF SMI * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPP * COOT IMR PRS SEMP CM IPC SPS,39.48485607787874,-87.41026787669007
Hamilton Center Inc,Child and Adolescent Services,500 8th Avenue Terre Haute IN 47804,NA,812-231-8478,812-231-8376,800-742-0787,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * SS * VET ADM MF CO TRMA PTSD SED * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPP * COOT ICM PRS SEMP CM SPS,39.484848,-87.4114
Harsha Behavioral Center Inc,NA,1980 East Woodsmall Drive Terre Haute IN 47802,NA,812-298-8888,NA,NA,NA,NA,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP PERPH THIOT ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT AIM * CIT PEON WI * PVTP * MC MD MI PI SF SI * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * PRS SPS,NA,NA
VA East Community Base OP Clinic,NA,4612 South Springhill Junction Street Terre Haute IN 47802,NA,812-478-1825,NA,NA,NA,NA,MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * FED VAMC * FQHC * PI SF VAF * VET ADM MF CO SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * VAPN * CDM COOT DEC FPSY IMR PRS SEMP VRS IPC SPS ES,NA,NA
Valley Professionals Community Health,Center (VPCHC),1530 North 7th Street Terre Haute IN 47807,Suite 201,812-238-7631,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * STU * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * VAPN * CDM DEC FPSY IMR PRS SEMP SH VRS CM IPC SPS ES,39.48391235151998,-87.40729589512522
Centerstone of Indiana Inc,Centerstone Union City,224 North Columbia Street Union City IN 47390,NA,800-344-8802,NA,NA,NA,NA,MH * OP * CMHC * CBT EMDR IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * TRMA PTSD SED * STU * TBS * TCC * SMON * CHLD * AH * VAPN * COOT FPSY PRS CM SPS,40.19964497959184,-84.80819765306123
Mid America Mental Health LLC,NA,402 Wall Street Valparaiso IN 46383,Suite 23,219-615-3136,NA,NA,NA,NA,SA MH SUMH * OP * OMH * HALOP ARIPI OLANZ QUETI RISPE NSC ANTPYCH * CBT CFT DBT IPT TELE * PVTP * MC MD MI PI SCJJ SF SI * STU * ADLT CHLD SNR YAD * VAPN * AOT FPSY SPS ES,41.4891297,-87.0504591
Midwest Ctr for Youth and Families,South Shore Academy,2301 Cumberland Drive Valparaiso IN 46383,NA,888-629-3471 x101,888-629-3471,219-766-2999,NA,NA,MH * RES * RTCC * AT CBT CFT DBT GT IPT * CIT * PVTP * CLF MD MI PI SCJJ SEF SF SI SWFS * GL MF CO TRMA PED PTSD SED * STU * SMON * CHLD YAD * VAPN * FPSY CM SPS ES,41.4929385,-87.0509051
Porter Starke Services Inc,NA,601 Wall Street Valparaiso IN 46383,NA,219-531-3500,219-476-4551,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT ARIPI BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF MC MD MI PI SF SMHA SWFS * SS * SE CO PEFP SED SMI * STU * TBS MST LABT * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT FPSY IMR SH CM SPS,41.4891297,-87.0504591
Porter Starke Services Inc,Recovery Center/Valparaiso,701 Wall Street Valparaiso IN 46383,NA,219-476-4676,219-476-4551,219-531-3500,NA,NA,SA MH SUMH * HI OP * CMHC * CHLOR FLUPH HALOP LOXAP THIOT ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF MC MD MI PI SF SMHA * SS * SE PEFP SMI * STU * TBS MST LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC IMR SH CM IPC SPS,41.4896904,-87.0520331
Community Mental Health Center Inc,Switzerland Cnty Counseling Center,1037 West Main Street Vevay IN 47043,NA,812-427-2737,812-537-1302,NA,NA,NA,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS MST LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT COOT FPSY ICM IMR SEMP VRS CM IPC SPS ES,38.74050076712871,-85.07879906489659
Good Samaritan Hospital,NA,515 Bayou Street Vincennes IN 47591,NA,812-886-6800,800-824-7907,NA,NA,NA,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * AT CBT CRT CFT DBT ECT EMDR GT IDD IPT TMS TELE * CIT PEON PEOFF * PVTN * FG * SS * PEER * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP CM IPC SPS,38.67448552820191,-87.53546738452133
Good Samaritan Hospital,Willows,1901 Willow Street Vincennes IN 47591,NA,812-885-2720,812-886-6800,800-824-7907,NA,NA,MH * OP * OMH * ANTPYCH * AT CBT CFT DBT GT IPT TELE * CIT PEON WI * PVTN * CLF CMHG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * TAY GL MF TRMA TBI PTSD SED * STU * PEER * SMON * CHLD YAD * AH * VAPN * COOT FPSY ICM SEMP CM SPS,38.657665,-87.530503
Vincennes Community Based Outpatient,Marion VA,1813 Willow Street Vincennes IN 47591,Suite 6-A,812-882-0894,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP PERPH PROCH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT WI * FED VAMC * VAF * SE GL VET MF CO TRMA TBI PTSD SMI * STU * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM DEC FPSY IMR LAD PRS SEMP SH VRS CM IPC SPS ES,38.65802612404801,-87.53064018450496
Otis R Bowen Ctr for Human Servs,NA,255 North Miami Street Wabash IN 46992,NA,260-563-8446,800-342-5653,NA,NA,NA,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS * SS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * AOT COOT FPSY ICM IMR PRS CM SPS,40.80154915,-85.822315337765545
Otis R Bowen Ctr for Human Servs,NA,850 North Harrison Road Warsaw IN 46580,NA,574-267-7169,800-342-5653,NA,NA,NA,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS * SS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * AOT COOT FPSY ICM IMR PRS CM IPC SPS,NA,NA
Otis R Bowen Ctr for Human Servs,The Harbours,2216 North Pointe Drive Warsaw IN 46582,NA,574-267-7169,574-269-9660 x3732,800-686-6847,NA,NA,MH SUMH * OP RES * RTCA * NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT * CIT PEON PEOFF * PVTN * MC MD SF * SMI * STU * PEER * TCC * ADLT SNR YAD * AH SP * VPPD * CDM DEC FPSY IMR PRS SEMP SH CM IPC SPS,NA,NA
Otis R Bowen Ctr for Human Servs,Wilson/Castaldi Apartments,1303 Husky Trail Warsaw IN 46582,Apartment 125,574-267-7169,800-342-5653,NA,NA,NA,SA MH SUMH * OP RES * ORES * NRT NSC ANTPYCH * CBT DBT GT IDD IPT * CIT PEON PEOFF * PVTN * MC MD SF * SMI * STU * PEER * TCC * ADLT SNR YAD * AH * VPPD * DEC FPSY IMR PRS SEMP SH CM IPC SPS,41.25367222493149,-85.82354970563004
Daviess Community Hospital,NA,1314 East Walnut Street Washington IN 47501,NA,812-254-2760,812-254-8854 x2,812-254-8634,NA,NA,MH * HI OP * IPSY * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT DBT ECT GT IPT TELE * CIT PEON * LCCG * CLF MC MD MI PI SF SI * TAY SE CO TRMA TBI ALZ PTSD SED SMI * STU * MST LABT * HS * TCC * SMON * ADLT CHLD SNR YAD * VAPN * CDM DEC FPSY IPC SPS,38.65937665,-87.15976061477349
Good Samaritan Hospital,Samaritan Center,2007 State Street Washington IN 47501,NA,812-254-1558,812-886-6800,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG FG MC MD MI PI SCJJ SF SI SMHA SWFS VAF * SS * CO SMI * STU * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP CM SPS,38.65533524308836,-87.15401419927142
Community Mental Health Center Inc,St Leon Office,28208 State Road 1 West Harrison IN 47060,Suite 101,812-576-1600,812-537-1302,NA,NA,NA,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS MST LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT COOT FPSY ICM IMR SEMP VRS CM IPC SPS ES,NA,NA
River Bend Hospital,NA,2900 North River Road West Lafayette IN 47906,NA,765-464-0400,NA,NA,NA,NA,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP PERPH THIOR ARIPI ASENA CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT TELE AIM * PEON WI * PVTN * MC MD MI PI SF SI * PA SS * SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * DEC SPS,40.4443076,-86.8966579
West Lafayette,Community Based Clinic,3851 North River Road West Lafayette IN 47906,NA,765-464-2280,NA,NA,NA,NA,MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE AIM * CIT WI * FED VAMC * FQHC * PI SF VAF * VET ADM MF CO * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * VAPN * CDM COOT DEC FPSY IMR PRS SEMP VRS IPC SPS ES,40.4443076,-86.8966579
Centerstone of Indiana Inc,Centerstone Winchester,325 South Oak Street Winchester IN 47394,Suite 103,800-344-8802,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * TAY CO DV TRMA PTSD SED SMI * STU * TBS * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * FPSY ICM PRS CM SPS,40.16927548484848,-84.97335596969697
Reid Outpatient Behavioral Health,NA,400 South Oak Street Winchester IN 47394,NA,765-983-3298,NA,NA,NA,NA,MH * OP * OMH * ARIPI OLANZF RISPE ANTPYCH * TELE * PVTN * ITU MC MD MI PI SF SI VAF * TAY SE GL VET ADM MF TRMA ALZ PTSD * STU * SMON * ADLT SNR YAD * AH * VAPN * DEC FPSY SPS,40.169308,-84.97357
Community Hlth Ctr of Southern IA,NA,117 South Main Street Albia IA 52531,NA,641-932-2065,NA,NA,NA,NA,SA MH * OP * CMHC * ANTPYCH * CBT CFT DBT EMDR IDD IPT TELE * PVTN * FQHC * CLF CMHG CSBG ITU MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * SS * STU * ADLT CHLD SNR YAD * VPPD * COOT FPSY SPS ES,41.025950264308015,-92.8072072710204
Eyerly Ball,Comm MH Servs/Story Cnty Outpt Clinic,2521 University Boulevard Ames IA 50010,Suite 121,515-241-0982,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS MST LABT * HS * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT COOT FPSY SH SPS,41.9999625,-93.63926071428573
Mary Greeley Medical Center,Behavioral Health Unit,1111 Duff Avenue Ames IA 50010,NA,515-239-2247,515-239-2682,NA,NA,NA,MH SUMH * HI OP * IPSY * FLUPH HALOP PROCH ARIPI ASENA BREXP CARIP CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT ECT GT IPT TELE * CIT PEON WI * PVTN * CLF ITU MC MD MI PI SF SI VAF * SE CO SMI * STU * MST HBT HCT LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC,42.03261625,-93.61228826978105
Richmond Center,NA,1619 South High Avenue Ames IA 50010,NA,515-232-5811,NA,866-801-0085,NA,NA,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF MC MD MI PI SCJJ SF SI SWFS VAF * SS * CO TRMA PTSD * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY SPS ES,42.0081439090909,-93.60747481818184
UCS Healthcare,Ankeny Office,1555 SE Delaware Avenue Ankeny IA 50021,Suite M,515-280-3860,NA,NA,NA,NA,SA MH SUMH * OP * OMH * AT CBT IDD IPT TELE * PVTN * CLF MD OSF PI SF SI VAF * SS * GL CJ CO DV TRMA PTSD * STU * HIVT STDT TBS HCT * PEER * SMOP * ADLT SNR YAD * AH * VAPP * COOT ES,41.71552534738956,-93.58127854618472
Southwest Iowa Mental Health Center,NA,2307 Olive Street Atlantic IA 50022,NA,712-243-2606,NA,NA,NA,NA,MH * OP * CMHC * CBT CFT EMDR GT IPT TELE * CIT WI * PVTN * MHC * CLF CMHG MC MD MI PI SF SI SMHA VAF * PA SS * PEER * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT SPS,41.38826502725379,-95.0036072251207
Iowa Specialty Hospital and Clinic,NA,403 1st Street SE Belmond IA 50421,NA,641-422-3500,641-444-3500,NA,NA,NA,SA MH * OP * OMH * DBT EMDR IPT TELE * CIT * LCCG * MC MD PI SF SI * SS * TAY SE GL CO DV PTSD SED * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT CM,42.84521245,-93.61188652525097
Richmond Center,NA,1332 South Marshall Street Boone IA 50036,NA,515-433-0369,NA,866-801-0085,NA,NA,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF MC MD MI PI SCJJ SF SI SWFS VAF * SS * CO TRMA PTSD * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY SPS ES,42.036787975,-93.878245075
Young House Family Services,NA,400 South Broadway Burlington IA 52601,NA,319-752-4000,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MD PI SCJJ SF SWFS * PA * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT,NA,NA
Catholic Charities,Diocese of Sioux City,409 1/2 West 7th Carroll IA 51401,NA,712-792-9597,NA,NA,NA,NA,MH * OP * OMH * CBT CFT DBT EMDR IPT TELE * CIT * PVTN * MHC * CLF MC MD PI SCJJ SF SI SWFS * PA SS * TRMA PTSD * STU * SMON * ADLT CHLD SNR YAD * VAPN * COOT CM ES,NA,NA
Counseling Services LLC,NA,322 East 6th Street Carroll IA 51401,NA,712-662-3222,NA,NA,NA,NA,MH SUMH * OP * OMH * CBT CFT EMDR IDD IPT TELE * PVTP * MHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA VAF * SMOP * ADLT CHLD SNR YAD * VAPP * COOT SPS,42.06467991836735,-94.86396326530613
Plains Area Mental Health Center,Carroll,318 South Maple Street Carroll IA 51401,Suite 1,712-792-2991,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * ARIPI BREXP CARIP LURAS PALIP RISPE ANTPYCH * CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SF SI * STU * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT CM IPC ES,42.05670927581596,-94.86428247375952
St Anthony Regional Hospital,St Anthony Mental Health Services,311 South Clark Street Carroll IA 51401,NA,712-794-5270,NA,NA,NA,NA,MH SUMH * HI OP * IPSY * FLUPH HALOP PERPH ARIPI CLOZA LURAS OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT ECT GT IDD TELE * PEON WI * PVTN * CLF CMHG ITU MC MD MI OSF PI SF SI SMHA * TAY SE GL CO TRMA PEFP PTSD SED SMI * STU * TBS MST LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC FPSY SPS ES,42.0560502,-94.86594781396042
MercyOne Cedar Falls Medical Center,NA,515 College Street Cedar Falls IA 50613,NA,319-268-3800,NA,NA,NA,NA,SA MH SUMH * HI * IPSY * HALOP ARIPI ASENA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IPT * PEON * PVTN * CLF MC MD OSF PI SF SI SMHA * SE ALZ * STU * TBS MST LABT * TCC * SMON * ADLT SNR * AH * VAPN * CDM IPC SPS,42.53351955,-92.45856423138817
Abbe Ctr for Comm Mental Health,NA,520 11th Street NW Cedar Rapids IA 52405,NA,319-398-3562,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * HALOP CLOZA QUETI RISPE ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SMI * STU * PEER * TCC * ADLT CHLD SNR YAD * SP * VPPD * ACT COOT FPSY PRS,41.97730844897959,-91.68711916326532
Four Oaks Family and Childrens Service,NA,5400 Kirkwood Boulevard SW Cedar Rapids IA 52404,NA,319-364-0259,NA,NA,NA,NA,MH * OP RES * RTCC * AT CBT DBT EMDR GT IDD IPT TELE AIM * PVTN * MD PI SCJJ SEF SF SI SMHA SWFS * SED * SMON * CHLD * AH SP * VAPN * COOT FPSY SH CM,41.895295,-91.6564069
Life Connection LC,Cedar Rapids,215 4th Avenue SE Cedar Rapids IA 52401,NA,319-289-0093,NA,NA,NA,NA,SA MH * OP * CBT CFT IDD IPT TELE * PVTP * MC MD PI SCJJ SF SI SWFS * CO * STU * ADLT CHLD SNR YAD * VPPD * COOT SPS,41.976242285714285,-91.66575057142856
Saint Lukes Counseling Center,NA,1077 North Center Point Road Cedar Rapids IA 52402,NA,319-369-7952,NA,NA,NA,NA,MH SUMH * OP * OMH * CBT CFT DBT GT IPT TELE * PVTN * CLF MC MD MI PI SF SI * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC FPSY IPC,NA,NA
Tanager Place,NA,2309 C Street SW Cedar Rapids IA 52404,NA,319-365-9164,NA,319-286-4545,NA,NA,MH * OP RES * RTCC * ANTPYCH * AT CBT CFT DBT EMDR GT IPT TELE * PVTN * CLF MD OSF PI SCJJ SF SI SMHA * GL TRMA PTSD SED * SMON * CHLD YAD * VAPN * ICM,41.9563179,-91.64756129609052
UnityPoint Health,Childrens Specialty Services,4050 River Ridge Drive NE Cedar Rapids IA 52402,NA,319-558-4900,NA,319-369-8728,NA,NA,MH SUMH * OP PHDT * PH * AT CBT DBT GT * PVTN * ITU MC MD MI PI SF SI VAF * SED * SMON * CHLD YAD * AH * VAPN * COOT FPSY SPS,42.02007702293533,-91.69989259966906
UnityPoint Health,Partial Hospitalization,810 1st Avenue NE Cedar Rapids IA 52403,NA,319-369-8176,NA,NA,NA,NA,MH SUMH * OP PHDT * PH * AT CBT DBT GT * PVTN * CLF MC MD MI PI SF SI SMHA VAF * SMI * STU * SMON * ADLT SNR YAD * AH * VAPN * COOT SPS,41.982966875,-91.6614979375
UnityPoint Health,St Lukes Hospital Psychiatric Services,1026 A Avenue NE Cedar Rapids IA 52402,NA,319-369-7211,319-369-7190,NA,NA,NA,MH SUMH * HI * IPSY * ANTPYCH * AT CBT CFT DBT ECT GT IPT * PEON WI * PVTN * CLF MC MD MI PI SF SI SMHA * SE ALZ PED SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT SPS ES,41.9862334,-91.66033721554928
Community Hlth Ctr of Southern IA,NA,221 East State Street Centerville IA 52544,NA,641-856-6471,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * FQHC * CLF CMHG MC MD MI PI SF SI SMHA * SS * CO * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR SPS,40.734315183673466,-92.87289695918366
